epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3703,0.92392,2.74464,1.14934,0.66305,0.59393,0.6346,0.51016,0.74225,1.71128,1.04149,0.000330218,0.000330218,0.000330218
2,52.3405,0.75827,1.10722,1.08563,0.87574,0.84443,0.91237,0.76772,0.63074,0.96867,0.98853,0.000650413,0.000650413,0.000650413
3,78.2855,0.72736,0.96354,1.07563,0.89336,0.88052,0.9415,0.80386,0.58706,0.97325,0.99963,0.000957408,0.000957408,0.000957408
4,104.127,0.70379,0.89293,1.05856,0.94566,0.91141,0.95314,0.83933,0.53203,0.70984,0.95569,0.0009406,0.0009406,0.0009406
5,130.297,0.65326,0.81912,1.03746,0.93342,0.91714,0.95677,0.83464,0.54928,0.71727,0.94019,0.0009208,0.0009208,0.0009208
6,156.397,0.61919,0.75347,1.0077,0.95418,0.90618,0.95863,0.85163,0.48781,0.63691,0.92696,0.000901,0.000901,0.000901
7,182.603,0.59894,0.74189,1.00938,0.95299,0.92848,0.96944,0.85702,0.54764,0.60458,0.95056,0.0008812,0.0008812,0.0008812
8,209.194,0.59668,0.70409,1.00533,0.97879,0.92138,0.96897,0.86458,0.4938,0.56912,0.93999,0.0008614,0.0008614,0.0008614
