epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,3446.74,0.71958,0.01941,0.07762,0.57008,1.04941,0.97198,0.89509,0.93791,0.81565,0.48442,0.43338,0.4613,0.46041,0.59701,0.01469,0.01073,0.41731,0.99473,0.007426,0.007426,0.007426
28,3570.9,0.71881,0.01805,0.07637,0.56889,1.0483,0.9723,0.89375,0.93741,0.81594,0.48496,0.43214,0.46111,0.46015,0.59567,0.01399,0.01106,0.41729,0.98966,0.007327,0.007327,0.007327
29,3699.97,0.71449,0.01816,0.075,0.56334,1.04625,0.97146,0.89335,0.93846,0.81796,0.48342,0.43441,0.46207,0.46105,0.59312,0.014,0.0111,0.41572,0.98948,0.007228,0.007228,0.007228
30,3823.25,0.70894,0.01785,0.07863,0.56268,1.04794,0.97207,0.89499,0.93857,0.81993,0.48408,0.43423,0.46215,0.46096,0.58999,0.0138,0.01096,0.41195,0.9893,0.007129,0.007129,0.007129
31,3946.42,0.70769,0.0173,0.07339,0.56107,1.0432,0.97139,0.89593,0.93903,0.82141,0.48635,0.43301,0.46261,0.46146,0.58649,0.01342,0.01101,0.4092,0.98436,0.00703,0.00703,0.00703
32,4069.87,0.70384,0.01783,0.07255,0.55514,1.04028,0.97441,0.89547,0.93951,0.82175,0.48638,0.43402,0.46213,0.46127,0.58334,0.01353,0.01034,0.40545,0.98123,0.006931,0.006931,0.006931
33,4193.12,0.69939,0.01708,0.07712,0.55668,1.03788,0.97406,0.89472,0.9391,0.82187,0.48822,0.43322,0.46236,0.46137,0.57972,0.01332,0.01049,0.40343,0.97939,0.006832,0.006832,0.006832
34,4316.2,0.69428,0.01642,0.0736,0.54416,1.0362,0.97445,0.8957,0.93918,0.8233,0.48734,0.43458,0.46208,0.46124,0.57866,0.01295,0.0105,0.40131,0.97739,0.006733,0.006733,0.006733
35,4439.99,0.69244,0.0169,0.07373,0.54593,1.03528,0.97406,0.89753,0.93911,0.8236,0.48746,0.43423,0.46219,0.46127,0.57741,0.01251,0.01067,0.39903,0.97536,0.006634,0.006634,0.006634
36,4565.53,0.68975,0.01636,0.07191,0.5469,1.03417,0.97536,0.89539,0.93939,0.82425,0.4886,0.43268,0.4624,0.46158,0.57496,0.01255,0.01048,0.39862,0.97444,0.006535,0.006535,0.006535
37,4689.42,0.69225,0.01683,0.0735,0.55013,1.03665,0.97476,0.89567,0.93958,0.82481,0.48804,0.43315,0.46227,0.46144,0.57218,0.01262,0.01032,0.3971,0.97328,0.006436,0.006436,0.006436
38,4818.61,0.6864,0.01563,0.07093,0.54201,1.03201,0.97483,0.89556,0.93983,0.8253,0.48686,0.43382,0.46263,0.4617,0.57047,0.01258,0.01011,0.3969,0.97282,0.006337,0.006337,0.006337
39,4943.28,0.68416,0.01606,0.07082,0.54019,1.03,0.97369,0.89698,0.93971,0.82598,0.48723,0.43301,0.46275,0.46179,0.56799,0.0125,0.01006,0.39513,0.97146,0.006238,0.006238,0.006238
40,5073.56,0.67919,0.01632,0.07209,0.53842,1.03078,0.97319,0.89816,0.93993,0.82643,0.48768,0.43307,0.46279,0.46185,0.56706,0.01243,0.01009,0.39371,0.97083,0.006139,0.006139,0.006139
1,140.348,1.25801,0.05256,0.17948,1.16215,1.34438,0.90109,0.80783,0.86445,0.61896,0.45305,0.38293,0.42138,0.41885,1.16153,0.05119,0.0716,1.07139,1.33239,0.0700228,0.00333079,0.00333079
2,268.883,1.11584,0.04141,0.14053,0.95108,1.27249,0.9296,0.81155,0.87101,0.64919,0.46896,0.38339,0.42956,0.42728,1.08329,0.04213,0.05786,0.84015,1.29131,0.0387034,0.00534463,0.00534463
3,393.882,1.00933,0.03711,0.12358,0.84791,1.21499,0.9544,0.84424,0.90071,0.6883,0.47667,0.40358,0.44211,0.44029,0.94993,0.03698,0.0396,0.68556,1.197,0.00606385,0.00603847,0.00603847
4,517.866,0.92168,0.0321,0.11119,0.74594,1.15856,0.95956,0.86117,0.91499,0.72823,0.48151,0.41251,0.44952,0.44823,0.83021,0.03055,0.02793,0.59426,1.1343,0.00406,0.00406,0.00406
5,641.53,0.83993,0.02955,0.09875,0.67699,1.11719,0.96179,0.86507,0.9196,0.75047,0.48399,0.41879,0.45233,0.45086,0.76448,0.02817,0.02584,0.54715,1.07932,0.00208,0.00208,0.00208
