epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.634,1.02993,1.90802,1.21923,0.43257,0.58044,0.42644,0.31619,0.89949,1.07064,1.0906,0.00199924,0.00199924,0.00199924
2,516.129,0.88696,1.14588,1.12313,0.57345,0.6112,0.5761,0.44252,0.81473,0.9047,1.03825,0.00399533,0.00399533,0.00399533
3,766.187,0.88263,1.07981,1.12295,0.67973,0.61253,0.66131,0.51298,0.81709,0.86014,1.04424,0.00597582,0.00597582,0.00597582
4,1015.59,0.90842,1.09735,1.14566,0.70624,0.6476,0.69244,0.54162,0.80331,0.83314,1.0821,0.0079291,0.0079291,0.0079291
