epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,65.3056,2.63069,2.03809,2.8132,0.00994,0.38462,0.01155,0.00574,3.24939,3.60287,3.93322,0.000990331,0.000990331,0.000990331
28,67.9623,2.78738,2.0098,2.71798,0.00569,0.53846,0.07819,0.01984,3.33593,3.17759,3.80255,0.00101377,0.00101377,0.00101377
29,70.6647,2.63761,1.97047,2.62467,0.00569,0.53846,0.07819,0.01984,3.33593,3.17759,3.80255,0.00103622,0.00103622,0.00103622
30,73.3857,2.37637,1.95319,2.60636,0.00463,0.53846,0.11661,0.03947,3.33022,2.97239,3.71578,0.00105768,0.00105768,0.00105768
31,75.9145,2.67422,2.17333,2.58172,0.06579,0.61538,0.17564,0.0662,3.28424,2.81679,3.59582,0.00107815,0.00107815,0.00107815
32,78.5248,2.39141,2.05352,2.61724,0.60467,0.23077,0.26994,0.13334,3.10043,2.59441,3.33259,0.00109763,0.00109763,0.00109763
33,81.0234,2.44294,1.84242,2.5211,0.60467,0.23077,0.26994,0.13334,3.10043,2.59441,3.33259,0.00111612,0.00111612,0.00111612
34,83.486,2.6199,1.77381,2.40084,0.80534,0.23077,0.30901,0.12679,2.87292,2.44366,3.09944,0.00112239,0.00112239,0.00112239
35,85.9187,2.46809,1.81819,2.44806,0.66312,0.30769,0.34322,0.08149,2.76116,2.58497,3.11396,0.00110589,0.00110589,0.00110589
36,88.2337,2.40572,2.13182,2.62464,0.8754,0.15385,0.28536,0.09823,2.32158,2.36964,2.96235,0.00108938,0.00108938,0.00108938
37,90.5602,2.37656,1.98778,2.5429,0.8754,0.15385,0.28536,0.09823,2.32158,2.36964,2.96235,0.00107288,0.00107288,0.00107288
38,92.9138,2.29533,1.76913,2.25998,0.92005,0.23077,0.44055,0.19014,1.82524,2.17,2.70604,0.00105638,0.00105638,0.00105638
39,95.3856,2.43319,1.88881,2.37288,0.44313,0.46154,0.57704,0.26421,1.72903,2.04431,2.6493,0.00103987,0.00103987,0.00103987
40,97.7604,2.03181,1.66932,2.24684,0.37787,0.53846,0.51792,0.27246,1.719,2.06684,2.60693,0.00102337,0.00102337,0.00102337
41,100.11,2.1707,1.88383,2.23399,0.37787,0.53846,0.51792,0.27246,1.719,2.06684,2.60693,0.00100687,0.00100687,0.00100687
42,102.46,2.24407,1.74771,2.27098,0.46822,0.53846,0.55565,0.32445,1.69877,2.00017,2.59218,0.000990365,0.000990365,0.000990365
43,104.977,2.19349,1.65799,2.27392,0.61408,0.46154,0.5397,0.35323,1.67533,1.93209,2.58764,0.000973861,0.000973861,0.000973861
44,107.305,2.2247,1.76877,2.29741,0.73237,0.53846,0.60044,0.36696,1.55456,1.77933,2.42861,0.000957358,0.000957358,0.000957358
45,109.594,2.31828,1.80945,2.18163,0.73237,0.53846,0.60044,0.36696,1.55456,1.77933,2.42861,0.000940855,0.000940855,0.000940855
46,111.975,2.18269,1.67717,2.16139,0.67663,0.53846,0.62715,0.35154,1.58142,1.67948,2.35295,0.000924352,0.000924352,0.000924352
47,114.315,2.36025,1.95183,2.14698,0.34916,0.70185,0.45792,0.27797,1.42735,1.70887,2.27723,0.000907848,0.000907848,0.000907848
48,116.712,2.15414,1.63604,2.14715,0.46163,0.61538,0.61857,0.36674,1.47671,1.65943,2.32687,0.000891345,0.000891345,0.000891345
49,118.993,2.19455,1.77723,2.23083,0.46163,0.61538,0.61857,0.36674,1.47671,1.65943,2.32687,0.000874842,0.000874842,0.000874842
50,121.373,2.05815,1.65881,2.01278,0.61039,0.72427,0.69976,0.34665,1.48815,1.65777,2.31557,0.000858338,0.000858338,0.000858338
51,123.753,2.04117,1.71144,2.00674,0.44133,0.92308,0.65116,0.34057,1.47809,1.60399,2.22829,0.000841835,0.000841835,0.000841835
52,126.213,2.04383,1.6283,2.17432,0.52713,0.61538,0.66743,0.39077,1.48181,1.60212,2.22968,0.000825332,0.000825332,0.000825332
53,128.612,2.17553,1.54211,2.1978,0.52713,0.61538,0.66743,0.39077,1.48181,1.60212,2.22968,0.000808828,0.000808828,0.000808828
54,131.059,2.10959,1.72548,2.02556,0.52615,0.85448,0.73791,0.43367,1.55328,1.51167,2.17625,0.000792325,0.000792325,0.000792325
55,133.424,2.20573,1.6838,1.95262,0.56039,0.88346,0.77304,0.44761,1.50544,1.46365,2.14665,0.000775822,0.000775822,0.000775822
56,135.801,2.16019,1.68595,2.2307,0.69884,0.84615,0.80559,0.46979,1.39506,1.40624,2.09176,0.000759318,0.000759318,0.000759318
57,138.158,1.89417,1.51701,1.98715,0.69884,0.84615,0.80559,0.46979,1.39506,1.40624,2.09176,0.000742815,0.000742815,0.000742815
58,140.501,2.12618,1.61808,2.08952,0.76324,0.74527,0.80166,0.51372,1.35769,1.46631,2.08556,0.000726312,0.000726312,0.000726312
59,142.9,2,1.6052,1.97245,0.64245,0.76923,0.82801,0.5149,1.45695,1.46897,2.06823,0.000709809,0.000709809,0.000709809
60,145.242,2.00188,1.59941,2.05722,0.59596,0.79519,0.82148,0.42173,1.64095,1.49305,2.09922,0.000693305,0.000693305,0.000693305
61,147.563,1.98832,1.56111,1.83288,0.59596,0.79519,0.82148,0.42173,1.64095,1.49305,2.09922,0.000676802,0.000676802,0.000676802
62,149.969,1.9048,1.51969,1.93009,0.58519,0.76923,0.78283,0.41534,1.52897,1.51325,2.13554,0.000660299,0.000660299,0.000660299
63,152.417,2.00561,1.57065,1.82764,0.63332,0.69231,0.80713,0.46788,1.52551,1.48702,2.08872,0.000643795,0.000643795,0.000643795
64,155.358,1.86181,1.4652,1.84708,0.88588,0.5987,0.79269,0.50488,1.49475,1.46449,2.04435,0.000627292,0.000627292,0.000627292
65,157.964,1.8128,1.5496,1.71293,0.88588,0.5987,0.79269,0.50488,1.49475,1.46449,2.04435,0.000610789,0.000610789,0.000610789
66,160.494,1.90158,1.59214,2.01921,0.91914,0.53846,0.77135,0.50327,1.49821,1.50193,2.05439,0.000594286,0.000594286,0.000594286
67,163.127,1.95285,1.57284,1.97367,0.93506,0.69231,0.83669,0.556,1.4595,1.4183,2.00332,0.000577782,0.000577782,0.000577782
68,165.618,1.75118,1.48386,1.83585,0.85363,0.76923,0.88072,0.58717,1.42504,1.33665,1.95392,0.000561279,0.000561279,0.000561279
69,168.097,1.81315,1.44911,1.76593,0.85363,0.76923,0.88072,0.58717,1.42504,1.33665,1.95392,0.000544776,0.000544776,0.000544776
70,170.638,1.82736,1.51593,1.83391,0.7731,0.84615,0.87239,0.55081,1.37985,1.33536,1.85649,0.000528272,0.000528272,0.000528272
71,173.058,1.87098,1.55321,1.91987,0.71334,0.84615,0.86989,0.4883,1.40238,1.34608,1.86047,0.000511769,0.000511769,0.000511769
72,175.399,1.64685,1.3205,1.81227,0.75286,0.93804,0.91758,0.5349,1.38418,1.31799,1.86546,0.000495266,0.000495266,0.000495266
73,177.894,1.78784,1.44156,1.68328,0.75286,0.93804,0.91758,0.5349,1.38418,1.31799,1.86546,0.000478762,0.000478762,0.000478762
74,180.252,1.9037,1.5008,1.94489,0.80616,0.96099,0.94102,0.57005,1.3706,1.31567,1.89469,0.000462259,0.000462259,0.000462259
75,182.701,2.00065,1.52834,2.02315,0.98322,0.76923,0.93336,0.57603,1.4752,1.33668,1.96085,0.000445756,0.000445756,0.000445756
76,185.206,1.82579,1.47201,2.00393,0.90514,0.73578,0.90571,0.5137,1.58669,1.37546,1.99106,0.000429253,0.000429253,0.000429253
77,187.595,2.02135,1.54043,2.07746,0.90514,0.73578,0.90571,0.5137,1.58669,1.37546,1.99106,0.000412749,0.000412749,0.000412749
78,190.267,1.96693,1.52647,1.79968,0.83501,0.77926,0.877,0.50256,1.61801,1.38818,1.99975,0.000396246,0.000396246,0.000396246
