epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.658,1.52461,13.1485,1.55458,0.61797,0.42786,0.42197,0.26746,1.43718,12.4641,1.57057,0.070033,0.00332966,0.00332966
2,229.084,1.39432,11.2177,1.46433,0.544,0.60581,0.55781,0.36005,1.27262,9.41757,1.44278,0.0400265,0.00665649,0.00665649
3,341.584,1.31432,10.3576,1.4132,0.59185,0.60171,0.58339,0.40358,1.12128,8.56853,1.33709,0.00999402,0.00995731,0.00995731
4,453.098,1.24021,9.77116,1.36445,0.58578,0.73038,0.62456,0.44665,1.05136,8.1047,1.2905,0.00991232,0.00991232,0.00991232
5,565.318,1.18891,9.14921,1.33125,0.60205,0.74128,0.63451,0.45829,1.03737,7.46551,1.27027,0.00984449,0.00984449,0.00984449
6,677.211,1.13152,8.80403,1.30186,0.60202,0.77259,0.65165,0.48008,0.98031,7.1519,1.2407,0.00975773,0.00975773,0.00975773
7,788.906,1.10373,8.59264,1.28011,0.62813,0.77001,0.65411,0.48554,0.94166,6.98421,1.20419,0.00965239,0.00965239,0.00965239
8,902.545,1.07644,8.33042,1.25976,0.62928,0.79204,0.66522,0.4997,0.93362,6.85237,1.20529,0.00952889,0.00952889,0.00952889
